"Site","Monitor","Date","StartHour","Value","AppliesToNatl","AppliesToSt","CollectionMethod","QuantificationMethod"
2115,1,2005-05-04,0,5,1,1,"RP2K","GRAV"
2115,1,2005-05-12,0,4,1,1,"RP2K","GRAV"
2115,1,2005-05-16,0,3,1,1,"RP2K","GRAV"
2115,1,2005-05-22,0,4,1,1,"RP2K","GRAV"
2115,1,2005-06-13,0,3,1,1,"RP2K","GRAV"
2115,1,2005-06-15,0,8,1,1,"RP2K","GRAV"
2115,1,2005-06-18,0,5,1,1,"RP2K","GRAV"
2115,1,2005-06-21,0,7,1,1,"RP2K","GRAV"
2115,1,2005-06-23,0,8,1,1,"RP2K","GRAV"
2115,1,2005-06-27,0,5,1,1,"RP2K","GRAV"
2115,1,2005-07-03,0,11,1,1,"RP2K","GRAV"
2115,1,2005-07-09,0,5,1,1,"RP2K","GRAV"
2115,1,2005-07-15,0,14,1,1,"RP2K","GRAV"
2115,1,2005-07-21,0,10,1,1,"RP2K","GRAV"
2115,1,2005-07-27,0,12,1,1,"RP2K","GRAV"
2115,1,2005-08-02,0,11,1,1,"RP2K","GRAV"
2115,1,2005-08-08,0,9,1,1,"RP2K","GRAV"
2115,1,2005-08-14,0,11,1,1,"RP2K","GRAV"
2115,1,2005-08-20,0,7,1,1,"RP2K","GRAV"
2115,1,2005-08-26,0,9,1,1,"RP2K","GRAV"
2115,1,2005-09-01,0,8,1,1,"RP2K","GRAV"
2115,1,2005-09-07,0,9,1,1,"RP2K","GRAV"
2115,1,2005-09-13,0,7,1,1,"RP2K","GRAV"
2115,1,2005-09-19,0,7,1,1,"RP2K","GRAV"
2115,1,2005-09-25,0,5,1,1,"RP2K","GRAV"
2115,1,2005-10-01,0,8,1,1,"RP2K","GRAV"
2115,1,2005-10-07,0,12,1,1,"RP2K","GRAV"
2115,1,2005-10-13,0,11,1,1,"RP2K","GRAV"
2115,1,2005-10-19,0,12,1,1,"RP2K","GRAV"
2115,1,2005-10-25,0,10,1,1,"RP2K","GRAV"
2115,1,2005-10-31,0,23,1,1,"RP2K","GRAV"
2115,1,2005-11-06,0,6,1,1,"RP2K","GRAV"
2115,1,2005-11-12,0,14,1,1,"RP2K","GRAV"
2115,1,2005-11-18,0,36,1,1,"RP2K","GRAV"
2115,1,2005-11-24,0,35,1,1,"RP2K","GRAV"
2115,1,2005-11-30,0,12,1,1,"RP2K","GRAV"
2115,1,2005-12-06,0,67,1,1,"RP2K","GRAV"
2115,1,2005-12-12,0,53,1,1,"RP2K","GRAV"
2115,1,2005-12-18,0,6,1,1,"RP2K","GRAV"
2115,1,2005-12-24,0,7,1,1,"RP2K","GRAV"
2115,1,2005-12-30,0,4,1,1,"RP2K","GRAV"
2115,1,2006-01-05,0,23,1,1,"RP2K","GRAV"
2115,1,2006-01-11,0,15,1,1,"RP2K","GRAV"
