"date","AOT_at_500nm","filename"
2001-01-28,149000,"MOD09CMA.A2001028.006.2015140045741.hdf"
2001-02-11,124000,"MOD09CMA.A2001042.006.2015140035645.hdf"
2001-02-26,NA,"MOD09CMA.A2001057.006.2015141231641.hdf"
2001-03-03,NA,"MOD09CMA.A2001062.006.2015141194556.hdf"
2001-03-04,NA,"MOD09CMA.A2001063.006.2015141194452.hdf"
2001-03-13,408000,"MOD09CMA.A2001072.006.2015141231645.hdf"
2001-02-22,NA,"MOD09CMA.A2001053.006.2015141200243.hdf"
2001-02-04,78000,"MOD09CMA.A2001035.006.2015140031653.hdf"
2001-02-05,45000,"MOD09CMA.A2001036.006.2015140053420.hdf"
2001-02-19,NA,"MOD09CMA.A2001050.006.2015141193902.hdf"
2001-03-06,196000,"MOD09CMA.A2001065.006.2015141202851.hdf"
2001-03-11,171000,"MOD09CMA.A2001070.006.2015141225421.hdf"
2001-03-12,NA,"MOD09CMA.A2001071.006.2015141231634.hdf"
2001-03-21,NA,"MOD09CMA.A2001080.006.2015141195658.hdf"
2001-03-02,NA,"MOD09CMA.A2001061.006.2015141191712.hdf"
2001-02-12,NA,"MOD09CMA.A2001043.006.2015140040922.hdf"
2001-02-13,62000,"MOD09CMA.A2001044.006.2015140064110.hdf"
2001-02-27,37000,"MOD09CMA.A2001058.006.2015141205407.hdf"
2001-03-14,NA,"MOD09CMA.A2001073.006.2015141225637.hdf"
2001-03-20,NA,"MOD09CMA.A2001079.006.2015141192730.hdf"
2001-03-19,NA,"MOD09CMA.A2001078.006.2015141184218.hdf"
2001-03-10,30000,"MOD09CMA.A2001069.006.2015141204940.hdf"
2001-03-29,46000,"MOD09CMA.A2001088.006.2015141225135.hdf"
2001-02-20,NA,"MOD09CMA.A2001051.006.2015141193000.hdf"
2001-02-21,107000,"MOD09CMA.A2001052.006.2015141195946.hdf"
2001-03-07,NA,"MOD09CMA.A2001066.006.2015141202458.hdf"
2001-03-22,228000,"MOD09CMA.A2001081.006.2015141195652.hdf"
